keyword,wordCityCount,tfLabel,pseg,mi2I,mi2z_rand,mi2p_rand
开森,11,3,nz,-0.040854404518974805,-0.9489288736208012,0.34265678823196455
中国气象局,29,3,nt,-0.056350000402240745,-1.2951539136254455,0.1952671395106481
中央气象台,9,3,nt,0.03395815511833479,0.9228280506396129,0.35609682030109013
新鲜空气,8,3,nt,-0.029823082187605227,-0.6873990120045352,0.4918313200608436
交警大队,8,3,nt,0.06053404296472349,1.6040533189761064,0.108702300287709
台风,38,3,ns,0.2514495229834269,6.112325940560375,9.818936774763642e-10
大坝,9,3,ns,0.06000329697747368,1.578174455393827,0.11452553699220402
天阴,9,3,ns,0.0015876364154807187,0.10832286703659931,0.9137395840692533
保家卫国,8,3,ns,0.030165463672791114,0.83390761447573,0.4043330460634933
雷声,52,3,nr,0.03887677649896903,0.9967363030084653,0.31889252351357533
井盖,26,3,nr,0.11403698647680073,2.8252274578745538,0.004724706307630555
雷,25,3,nr,0.06660952739643035,1.6789073394805627,0.09317010391966063
立秋,15,3,nr,0.059276145046468796,1.5224660586443401,0.12789234370494507
关窗户,13,3,nr,0.043853761331516534,1.1500189106008358,0.2501360826018413
帕卡,13,3,nr,0.350917985919752,8.73260265737949,0.0
汪洋,13,3,nr,0.015335679425197032,0.44579898839357307,0.6557424526076077
子弟兵,12,3,nr,0.14852631172229372,3.7477529563274166,0.00017842585987537518
东南风,12,3,nr,0.16380112741884992,4.126256223164522,3.68716455767526e-05
黄梅,12,3,nr,0.09171551854274644,2.340006294289862,0.019283414899091467
唐晶,12,3,nr,0.06359840343322956,1.6432764525421486,0.10032574799888527
白昼,10,3,nr,-0.024376565214179684,-0.5416278539849091,0.5880748994844501
纳沙,8,3,nr,0.0035434670824555773,0.15877506638457517,0.8738460937317905
铁路桥,8,3,nr,0.06797500171797285,1.7927556736727535,0.07301200005107122
天气,130,3,n,0.15219476872061868,3.6925496098035873,0.00022201701359936266
心情,77,3,n,0.12590857024609386,3.072996578344608,0.0021192091761450538
淋,70,3,n,0.1500850257155349,3.652844078083797,0.0002593517272100332
伞,67,3,n,0.12823599803636593,3.131489001187705,0.0017392230060679914
回家,65,3,n,0.0979681264606808,2.408226423229627,0.016030235623710976
天气预报,58,3,n,0.05684337629468598,1.4258797979008595,0.15390304174948133
气象台,55,3,n,0.060370459139624626,1.5110151999361645,0.13078457826561563
雷电,45,3,n,-0.004140094630364096,-0.03414352150893294,0.9727627035555597
路段,44,3,n,0.085975472880413,2.129081891996359,0.033247485653703945
山体,43,3,n,0.2045378909196003,4.976503220923702,6.474319951266239e-07
淋湿,39,3,n,-0.013618528314363913,-0.26206643020388565,0.7932702273263836
倾盆,36,3,n,-0.02120222962288831,-0.444860969175107,0.6564202305126065
冰雹,34,3,n,0.1957182683479716,4.779565262811411,1.7567464158929624e-06
火锅,33,3,n,0.06328925231633208,1.5905713591694168,0.11170607436448399
大风,31,3,n,0.19522248416209875,4.7745407642674715,1.8011779776561099e-06
衣服,30,3,n,0.1414296579235507,3.478906004885215,0.0005034651448847516
强对流,29,3,n,0.08499563903987817,2.118149320666461,0.03416242366153077
鞋子,28,3,n,0.15106962331736182,3.716091326023255,0.00020232847596668435
小城,28,3,n,0.13146960496875762,3.2424787888769444,0.0011849476839240758
宿舍,26,3,n,0.08382702125304387,2.094205419355548,0.03624168522632942
气象局,25,3,n,0.08787912501785919,2.1939985078698823,0.02823551682276637
雷暴,25,3,n,0.034109358299408435,0.8918426111770245,0.3724772985370697
航班,25,3,n,-0.017001407484035256,-0.34591959444848586,0.7294031424477583
接线,24,3,n,-0.012126995303576913,-0.2280711042551114,0.8195909635875067
过境,24,3,n,0.21635118737679918,5.309810343931621,1.0973937025759994e-07
降温,24,3,n,0.3564528512850077,8.70561118721275,0.0
海景,23,3,n,0.16715157306925205,4.121169577966685,3.7695382271163425e-05
局地,23,3,n,0.011543023446779368,0.34597012855319675,0.7293651640251326
电线杆,19,3,n,0.09604210298278554,2.4074556200801256,0.01606411453028911
乡镇,19,3,n,0.1031098956758877,2.5797468753502213,0.009887275832107356
漩涡,19,3,n,0.13555981942959114,3.3707771643965962,0.0007495646224959795
全城,17,3,n,0.0527343446224434,1.3561558574268426,0.17504958363299372
被窝,17,3,n,0.2063360739130981,5.112717873148532,3.175563958457417e-07
全县,17,3,n,0.1015907082416526,2.5510119351922023,0.010741064744499207
裤子,17,3,n,-0.012318531624680362,-0.23481037096090515,0.8143559179060239
公交,17,3,n,0.05053512031513746,1.3023705092082405,0.1927897588606049
橙色,16,3,n,-0.025946094456170604,-0.5691992821780933,0.5692209077509592
局部地区,16,3,n,0.010895621999626806,0.3335751182603219,0.7387001965667337
官兵,16,3,n,0.058478977395270165,1.4995640913769706,0.13372735513144196
伏笔,15,3,n,0.238427853735628,5.922156927768156,3.177461849190877e-09
杆,15,3,n,0.10892868840790797,2.7418562796727897,0.006109306603661269
鞋袜,15,3,n,0.049769359585912915,1.2889940058709033,0.19740017046086367
前线,14,3,n,0.241706311435766,6.017959757781982,1.766290891325184e-09
指挥部,14,3,n,0.04322563696980859,1.1311640082569527,0.2579860675766201
建党,14,3,n,0.17323248731051838,4.332064677118213,1.4771753125364384e-05
楼顶,14,3,n,0.05845048653379175,1.50601526436346,0.1320632552023342
众志成城,13,3,n,0.3257638491999826,8.111451337940242,4.440892098500626e-16
涵洞,13,3,n,0.13244968191164283,3.337789199772765,0.0008444779013068171
标准答案,13,3,n,0.32543106388162074,8.103233602547718,4.440892098500626e-16
淋淋,13,3,n,0.02521408904625619,0.6897344984228153,0.49036116684290043
急流,12,3,n,0.10365068999837279,2.635754634299886,0.008395041181735508
堤坝,12,3,n,0.1374684604380674,3.473744227291021,0.0005132500322624356
泡汤,12,3,n,-0.04229023944907305,-0.9805979069327946,0.32679106691303617
考场,12,3,n,0.050301116636093754,1.3137754888139541,0.18892176850884956
小暑,12,3,n,0.22870816739869598,5.734624347608556,9.772870290802871e-09
赏荷,12,3,n,0.04859487208056876,1.271495493354838,0.20355242969041232
应景,11,3,n,0.03920208809689623,1.043044565318406,0.29692765305059865
低洼地,11,3,n,0.015295555229235338,0.4481998883475483,0.6540089433022245
猛兽,11,3,n,-0.04339434839238304,-1.0121280042210161,0.31147685416349435
警报,11,3,n,-0.022209780359472586,-0.485011521121526,0.6276681730097439
寒心,11,3,n,0.10160855916404866,2.595848450696856,0.009435767328909384
贷款,11,3,n,0.0469294623768497,1.2353178440425567,0.21671223525698835
省道,11,3,n,0.03475142510451779,0.9323027356828424,0.351180094332733
当兵,11,3,n,0.0008324034293742947,0.08832633796723327,0.9296173060889448
树叶,11,3,n,0.06036862102538012,1.5697122971946993,0.11648205903016251
电力,11,3,n,0.04374559847872994,1.1560966327326485,0.24764163321412802
中队,11,3,n,0.16528082737521396,4.180148023777455,2.9131940175508575e-05
地势,10,3,n,0.13307988281296543,3.39586294765255,0.0006841260546672778
秋分,10,3,n,0.34397483385795063,8.669682726111246,0.0
立交桥,10,3,n,-0.023868659237614925,-0.5289267221108072,0.5968562839351184
天气情况,10,3,n,-0.03686705560048013,-0.8539757547550344,0.39311842328701396
兵哥哥,10,3,n,0.03487531304283594,0.9400753632534258,0.3471789050241969
待命,10,3,n,0.08909269403890194,2.295881629911238,0.02168265037075634
黑云压城,10,3,n,0.03077969246905747,0.8376567672650944,0.4022235007624544
救援队,10,3,n,0.036655814912157386,0.9846001180068346,0.3248205316921353
人群,10,3,n,0.01756880822878354,0.5072940807614071,0.6119484912147031
站点,10,3,n,-0.03092838578531538,-0.7054682908552901,0.48051885838514496
登机,10,3,n,0.03219283676975537,0.8729950640138254,0.38266576814424713
河堤,9,3,n,0.060240768463073906,1.5841496996509494,0.11315965673472417
雷劈,9,3,n,-0.03274575848303396,-0.7555720977686404,0.44990579022763433
持续时间,9,3,n,-0.034632245249760246,-0.8030397724266178,0.42195174680082426
电站,9,3,n,0.05529272623584006,1.4596473374934587,0.1443870222087198
全线,9,3,n,0.07424062589107507,1.9364133303169824,0.052817098132228235
响雷,9,3,n,-0.03869738067155733,-0.9053264828589105,0.3652924504545134
冷气,9,3,n,0.005213145138294852,0.19954771502365645,0.8418343225798754
县委,9,3,n,0.050539753825681995,1.340053311177948,0.1802280135450205
建筑物,9,3,n,-0.031044488404144102,-0.7127648350650521,0.47599128900543874
警戒线,9,3,n,0.09160892500712864,2.3734335025994238,0.01762356611835081
消费者,9,3,n,0.021986935220468157,0.6216088842008555,0.5341990777708348
服务队,9,3,n,-0.025597257865221948,-0.5757019244901422,0.5648166743273995
车牌,9,3,n,0.08913423963760796,2.3111656075507283,0.02082370925070398
手电筒,9,3,n,0.0654393458753489,1.7149560141412448,0.08635329167362626
鱼塘,9,3,n,0.10743913957798697,2.7717524774626603,0.005575541528069383
县政府,9,3,n,0.15069061282197524,3.8600436314931788,0.00011336678105888787
农历,9,3,n,-0.03277498574280014,-0.7563075124464401,0.4494648449984704
绿阴,9,3,n,0.04166684488166526,1.1167936719092706,0.2640825551802697
路政,9,3,n,0.06939255417735961,1.8144264206369642,0.06961210119667838
副热带,8,3,n,-0.024192878587897426,-0.5446173205696175,0.5860167396812674
皮划艇,8,3,n,0.08644692337722656,2.2612027150370153,0.023746707068018846
蝉,8,3,n,-0.021410731977064692,-0.4740622168544983,0.6354555408512961
病历,8,3,n,0.031615905999635104,0.8706907618500683,0.38392302398732436
加班加点,8,3,n,-0.021620717804596595,-0.4793874473015682,0.6316630218644472
桥洞,8,3,n,-0.03181463546985966,-0.7379047070806081,0.4605723583910837
药店,8,3,n,-0.02455853214246401,-0.5538902770578902,0.5796539396487776
一夜,53,3,m,0.009342676074220766,0.2889480107074785,0.7726211626947133
一整天,29,3,m,0.09317580093625873,2.31568900542894,0.020575255145851568
一整夜,23,3,m,-0.05804719958255058,-1.3423495190643349,0.17948269440607312
两夜,18,3,m,0.19986144926264685,4.945844553981721,7.581444143589522e-07
整座,18,3,m,-0.0068127481301134074,-0.0999857546653598,0.9203556348977472
第一线,17,3,m,0.2887243441878656,7.127647314922947,1.020961093445294e-12
电闪雷鸣,67,3,l,0.06116935836251285,1.5277241384176004,0.1265810443193982
没完没了,45,3,l,0.09177211054082311,2.2676578311324316,0.023350069922608796
说走就走,31,3,l,0.08619065033271363,2.1445657074756372,0.0319875865899375
绕道而行,28,3,l,0.08644664591947342,2.1545493040209016,0.031197119812886864
连绵不断,24,3,l,0.018211853396538382,0.5072855298211943,0.6119544901284901
吃火锅,22,3,l,0.050493988444384505,1.2922799297608747,0.19626021987816422
